Energy (keV);Stopping Power (MeV·cm²/g);Dose (kGy)
1562.5;75.66442516510402;158.89529284671846
1562.0;75.67830781927279;158.92444642047283
1561.5;75.69219700085965;158.95361370180527
1561.0;75.70609271518107;158.98279470188024
1560.5;75.71999496755981;159.0119894318756
1560.0;75.733903763325;159.0411979029825
1559.5;75.74781910781208;159.07042012640537
1559.0;75.76174100636287;159.09965611336202
1558.5;75.77566946432555;159.12890587508363
1558.0;75.78960448705469;159.15816942281486
1557.5;75.80354607991126;159.18744676781367
1557.0;75.8174942482626;159.21673792135147
1556.5;75.8314489974825;159.24604289471327
1556.0;75.84541033295108;159.27536169919725
1555.5;75.85937826005498;159.30469434611547
1555.0;75.87335278418728;159.33404084679327
1554.5;75.88733391074739;159.36340121256953
1554.0;75.90132164514134;159.3927754547968
1553.5;75.91531599278153;159.4221635848412
1553.0;75.92931695908685;159.4515656140824
1552.5;75.94332454948271;159.4809815539137
1552.0;75.95733876940098;159.51041141574203
1551.5;75.97135962428004;159.5398552109881
1551.0;75.98538711956486;159.56931295108623
1550.5;75.99942126070688;159.59878464748445
1550.0;76.01346205316403;159.62827031164448
1549.5;76.02750950240093;159.65776995504197
1549.0;76.0415636138886;159.68728358916607
1548.5;76.05562439310478;159.71681122552005
1548.0;76.06969184553367;159.74635287562072
1547.5;76.08376597666616;159.77590855099893
1547.0;76.09784679199964;159.80547826319926
1546.5;76.11193429703819;159.83506202378018
1546.0;76.12602849729252;159.86465984431433
1545.5;76.14012939827994;159.89427173638788
1545.0;76.15423700552434;159.92389771160111
1544.5;76.1683513245564;159.95353778156846
1544.0;76.18247236091337;159.98319195791808
1543.5;76.19660012013917;160.01286025229226
1543.0;76.21073460778452;160.0425426763475
1542.5;76.22487582940666;160.07223924175398
1542.0;76.23902379056966;160.10194996019627
1541.5;76.2531784968443;160.13167484337305
1541.0;76.26733995380805;160.16141390299688
1540.5;76.28150816704512;160.19116715079477
1540.0;76.29568314214647;160.2209345985076
1539.5;76.30986488470988;160.25071625789076
1539.0;76.32405340033979;160.28051214071357
1538.5;76.33824869464753;160.3103222587598
1538.0;76.35245077325112;160.34014662382737
1537.5;76.36665964177553;160.36998524772858
1537.0;76.38087530585234;160.39983814228992
1536.5;76.3950977711201;160.42970531935225
1536.0;76.40932704322424;160.4595867907709
1535.5;76.42356312781683;160.48948256841535
1535.0;76.437806030557;160.5193926641697
1534.5;76.45205575711061;160.5493170899323
1534.0;76.46631231315052;160.57925585761612
1533.5;76.4805757043564;160.60920897914843
1533.0;76.49484593641478;160.639176466471
1532.5;76.50912301501923;160.6691583315404
1532.0;76.52340694587012;160.69915458632727
1531.5;76.53769773467485;160.7291652428172
1531.0;76.55199538714764;160.75919031301007
1530.5;76.56629990900981;160.78922980892062
1530.0;76.58061130598956;160.81928374257808
1529.5;76.59492958382205;160.84935212602633
1529.0;76.60925474824953;160.87943497132403
1528.5;76.6235868050211;160.9095322905443
1528.0;76.63792575989302;160.93964409577535
1527.5;76.65227161862849;160.96977039911985
1527.0;76.66662438699774;160.99991121269525
1526.5;76.68098407077807;161.03006654863395
1526.0;76.69535067575383;161.06023641908305
1525.5;76.7097242077164;161.09042083620446
1525.0;76.72410467246434;161.1206198121751
1524.5;76.73849207580318;161.1508333591867
1524.0;76.7528864235456;161.18106148944577
1523.5;76.76728772151141;161.21130421517395
1523.0;76.78169597552753;161.24156154860782
1522.5;76.796111191428;161.27183350199877
1522.0;76.81053337505399;161.3021200876134
1521.5;76.8249625322539;161.3324213177332
1521.0;76.83939866888325;161.36273720465485
1520.5;76.85384179080471;161.39306776068992
1520.0;76.8682919038882;161.42341299816525
1519.5;76.88274901401083;161.45377292942274
1519.0;76.89721312705684;161.4841475668194
1518.5;76.91168424891787;161.51453692272753
1518.0;76.92616238549262;161.54494100953448
1517.5;76.94064754268716;161.57535983964306
1517.0;76.95513972641477;161.60579342547103
1516.5;76.96963894259598;161.63624177945155
1516.0;76.98414519715868;161.66670491403323
1515.5;76.99865849603796;161.69718284167973
1515.0;77.01317884517633;161.7276755748703
1514.5;77.02770625052351;161.75818312609937
1514.0;77.04224071803661;161.7887055078769
1513.5;77.05678225368008;161.81924273272818
1513.0;77.07133086342574;161.84979481319405
1512.5;77.0858865532527;161.8803617618307
1512.0;77.10044932914758;161.9109435912099
1511.5;77.11501919710423;161.9415403139189
1511.0;77.12959616312403;161.9721519425605
1510.5;77.14418023321572;162.002778489753
1510.0;77.1587714133955;162.03341996813057
1509.5;77.17336970968698;162.06407639034268
1509.0;77.1879751281212;162.09474776905452
1508.5;77.2025876747367;162.12543411694708
1508.0;77.21720735557948;162.15613544671692
1507.5;77.23183417670303;162.1868517710764
1507.0;77.24646814416836;162.21758310275357
1506.5;77.26110926404391;162.24832945449222
1506.0;77.27575754240576;162.27909083905212
1505.5;77.29041298533743;162.30986726920864
1505.0;77.30507559893003;162.3406587577531
1504.5;77.3197453892822;162.37146531749264
1504.0;77.33442236250022;162.40228696125047
1503.5;77.34910652469787;162.43312370186553
1503.0;77.36379788199658;162.46397555219284
1502.5;77.37849644052534;162.49484252510322
1502.0;77.3932022064208;162.5257246334837
1501.5;77.40791518582726;162.55662189023727
1501.0;77.42263538489664;162.58753430828295
1500.5;77.43736280978848;162.61846190055581
1500.0;77.45209746667003;162.64940468000705
1499.5;77.46683936171623;162.68036265960407
1499.0;77.48158850110971;162.7113358523304
1498.5;77.4963448910408;162.7423242711857
1498.0;77.51110853770754;162.77332792918583
1497.5;77.52587944731572;162.804346839363
1497.0;77.54065762607885;162.83538101476563
1496.5;77.55544308021825;162.86643046845833
1496.0;77.57023581596295;162.8974952135222
1495.5;77.58503583954982;162.92857526305463
1495.0;77.59984315722346;162.95967063016928
1494.5;77.61465777523634;162.9907813279963
1494.0;77.62947969984867;163.02190736968222
1493.5;77.64430893732862;163.0530487683901
1493.0;77.6591454939521;163.0842055372994
1492.5;77.67398937600291;163.1153776896061
1492.0;77.68884058977271;163.1465652385227
1491.5;77.7036991415611;163.1777681972783
1491.0;77.71856503767552;163.20898657911863
1490.5;77.73343828443132;163.2402203973058
1490.0;77.7483188881518;163.2714696651188
1489.5;77.76320685516825;163.30273439585332
1489.0;77.77810219181974;163.33401460282147
1488.5;77.79300490445347;163.36531029935227
1488.0;77.80791499942457;163.39662149879157
1487.5;77.82283248309612;163.42794821450187
1487.0;77.83775736183925;163.45929045986242
1486.5;77.85268964203303;163.49064824826937
1486.0;77.86762933006462;163.52202159313572
1485.5;77.88257643232927;163.55341050789147
1485.0;77.89753095523017;163.58481500598333
1484.5;77.91249290517865;163.61623510087517
1484.0;77.9274622885941;163.6476708060476
1483.5;77.94243911190397;163.67912213499832
1483.0;77.95742338154389;163.7105891012422
1482.5;77.97241510395759;163.74207171831094
1482.0;77.98741428559687;163.77356999975345
