Depth (µm);Stopping Power (MeV·cm²/g);Dose (kGy)
12.088946770228697;52.60616319048805;110.47294270002492
12.136464580113408;52.61185239946039;110.48489003886682
12.183977250869306;52.61754307275201;110.49684045277921
12.231484782285362;52.623235210975935;110.50879394304947
12.27898717415049;52.62892881474561;110.52075051096578
12.326484426253549;52.63462388467479;110.53271015781705
12.373976538383337;52.64032042137765;110.54467288489307
12.421463510328598;52.64601842546869;110.55663869348426
12.468945341878024;52.65171789756276;110.5686075848818
12.516422032820248;52.65741883827514;110.5805795603778
12.563893582943845;52.6631212482214;110.59255462126495
12.611359992037336;52.66882512801754;110.60453276883685
12.658821259889185;52.67453047827987;110.61651400438774
12.7062773862878;52.680237299625105;110.62849832921273
12.75372837102153;52.68594559267031;110.64048574460764
12.801174213878674;52.691655358032904;110.65247625186912
12.848614914647468;52.69736659633072;110.66446985229452
12.896050473116098;52.7030793081819;110.67646654718199
12.943480889072685;52.70879349420499;110.68846633783048
12.9909061623053;52.71450915501887;110.70046922553962
13.038326292601958;52.72022629124284;110.71247521160997
13.085741279750614;52.72594490349652;110.7244842973427
13.133151123539168;52.73166499239994;110.73649648403989
13.180555823755462;52.73738655857346;110.74851177300427
13.227955380187284;52.74310960263782;110.76053016553944
13.275349792622364;52.74883412521414;110.7725516629497
13.322739060848376;52.75456012692391;110.78457626654021
13.370123184652932;52.76028760838897;110.79660397761685
13.417502163823597;52.766016570231564;110.80863479748629
13.464875998147875;52.771747013074275;110.82066872745598
13.512244687413208;52.77747893754006;110.83270576883413
13.559608231406987;52.78321234425226;110.84474592292975
13.606966629916544;52.7889472338346;110.85678919105266
13.654319882729158;52.79468360691114;110.8688355745134
13.701667989632046;52.80042146410636;110.88088507462336
13.749010950412368;52.806160806045035;110.89293769269459
13.796348764857232;52.8119016333524;110.90499343004004
13.843681432753684;52.817643946654;110.9170522879734
13.891008953888715;52.82338774657581;110.92911426780921
13.938331328049259;52.82913303374412;110.94117937086266
13.985648555022193;52.83487980878563;110.95324759844982
14.032960634594337;52.840628072327384;110.9653189518875
14.080267566552454;52.84637782499685;110.9773934324934
14.127569350683247;52.85212906742181;110.9894710415858
14.174865986773366;52.85788180023046;111.00155178048398
14.2221574746094;52.8636360240514;111.01363565050796
14.269443813977885;52.86939173951352;111.02572265297837
14.316725004665296;52.87514894724614;111.0378127892169
14.36400104645805;52.88090764787897;111.04990606054585
14.411271939142514;52.886667842042066;111.06200246828834
14.458537682504987;52.892429530365874;111.07410201376834
14.505798276331719;52.89819271348121;111.08620469831054
14.553053720408897;52.903957392019265;111.09831052324046
14.600304014522655;52.90972356661162;111.11041948988439
14.647549158459064;52.91549123789022;111.12253159956947
14.694789152004146;52.9212604064874;111.13464685362354
14.742023994943855;52.92703107303588;111.14676525337535
14.789253687064097;52.93280323816874;111.15888680015436
14.836478228150714;52.93857690251943;111.1710114952908
14.88369761798949;52.94435206672183;111.18313934011584
14.930911856366157;52.95012873141012;111.19527033596127
14.978120943066385;52.95590689721896;111.20740448415981
15.025324877875788;52.96168656478331;111.21954178604494
15.072523660579918;52.96746773473851;111.2316822429509
15.119717290964275;52.97325040772035;111.24382585621274
15.1669057688143;52.979034584364925;111.25597262716636
15.214089093915373;52.98482026530875;111.26812255714839
15.261267266052819;52.990607451188744;111.28027564749637
15.308440285011903;52.99639614264216;111.29243189954853
15.355608150577835;53.00218634030665;111.30459131464397
15.402770862535762;53.00797804482026;111.31675389412257
15.449928420670778;53.0137712568214;111.32891963932494
15.497080824767917;53.0195659769489;111.34108855159269
15.544228074612153;53.02536220584191;111.353260632268
15.591370169988407;53.03115994414003;111.36543588269407
15.638507110681537;53.03695919248322;111.37761430421477
15.685638896476343;53.0427599515118;111.38979589817478
15.73276552715757;53.04856222186649;111.40198066591964
15.779887002509902;53.05436600418843;111.4141686087957
15.827003322317967;53.060171299119105;111.42635972815012
15.874114486366334;53.06597810730036;111.43855402533077
15.92122049443951;53.07178642937452;111.45075150168651
15.968321346321948;53.07759626598422;111.46295215856686
16.01541704179804;53.08340761777248;111.4751559973222
16.062507580652127;53.08922048538274;111.48736301930377
16.10959296266848;53.095034869458814;111.49957322586353
16.156673187631316;53.10085077064492;111.51178661835432
16.203748255324797;53.106668189585605;111.52400319812976
16.250818165533023;53.112487126925885;111.53622296654437
16.297882918040038;53.11830758331111;111.54844592495333
16.344942512629824;53.124129559387036;111.56067207471278
16.391996949086305;53.12995305579982;111.57290141717962
16.43904622719335;53.13577807319596;111.58513395371152
